Graph_No	ID	Type	Implementation	HMM_threshold	enzyme_long	function_input	function_output	HMM_source	enzyme_ref	kegg_ortholog	Comment
9.10	aclA	HMM	acetate_citrate_lyase_aclA.hmm	215|full	ATP-citrate lyase alpha-subunit	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K15230	
9.11	aclB	HMM	acetate_citrate_lyase_aclB.hmm	177|full	ATP-citrate lyase beta-subunit	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K15231	
9.12	Hbs_2	HMM	K18861.hmm	946.67|full	4-hydroxybutyrate---CoA ligase (ADP-forming)	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K18861	
10.1	mtaA	HMM	NF040654.hmm	400|domain	Methanol:corrinoid methyltransferase. catalytic subunit (MtaA)	NA	NA	https://www.ncbi.nlm.nih.gov/genome/annotation_prok/evidence/NF008154/	https://doi.org/10.3389/fmicb.2015.00694	K14080	Marker for methanol-dependent methylotrophic methanogenesis
10.2	mtbA	HMM	NF041608.hmm	600|domain	Dimethylamine:corrinoid methyltransferase catalytic subunit (MtbA)	NA	NA	https://www.ncbi.nlm.nih.gov/genome/annotation_prok/evidence/NF041608/	https://doi.org/10.3389/fmicb.2015.00694	K14082	Marker for dimethylamine-dependent methylotrophic methanogenesis
10.3	hyd1k	HMM	hydrogenase_NiFeGroup1k.hmm	211|domain	hydrogenase [NiFe] 1k	NA	NA	doi: 10.3389/fbinf.2022.918853	DOI: 10.1038/srep34212	KEGG TOO UNSPECIFIC	
10.4	mcrA	HMM	TIGR03256.hmm	314.45|full	methyl-coenzyme M reductase alpha subunit	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K00399	
10.5	mcrB	HMM	TIGR03257.hmm	173.35|full	methyl-coenzyme M reductase beta subunit	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K00401	
10.6	mcrG	HMM	TIGR03259.hmm	172|full	methyl coenzyme M (methyl-CoM) reductase G	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K00402	
10.7	mttB	HMM	K14083.hmm	160.73|full	trimethylamine---corrinoid protein Co-methyltransferase	NA	NA	https://doi.org/10.1128/mmbr.00024-22	NA	K14083	Marker for methylotrophic methanogenesis from trimethylamine.
10.8	mtsA	HMM	K16954.hmm	462.67|full	methylthiol:coenzyme M methyltransferase [EC:2.1.1.251	NA	NA	https://doi.org/10.1128/mmbr.00024-22	NA	K16954	Marker for methylotrophic methanogenesis from methanethiol, methylthiopropanoate or dimethylsulfide.
10.11	mtmB	HMM	K16176.hmm	261.00|full	methylamine---corrinoid protein Co-methyltransferase [EC:2.1.1.248]	NA	NA	https://doi.org/10.1128/mmbr.00024-22	NA	K16176	Marker for methylotrophic methanogenesis from methylamine.
10.12	mtgB	HMM	K25220.hmm	536.00|full	glycine betaine---corrinoid protein Co-methyltransferase [EC:2.1.1.376]	NA	NA	https://doi.org/10.1128/mmbr.00024-22	NA	K25220	Marker for methylotrophic methanogenesis from betaine.
11.1	adh	HMM	K00001.hmm	336.20|domain	alcohol dehydrogenase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K00001	
11.2	akr1a1	HMM	K00002.hmm	406.57|full	alcohol dehydrogenase (NADP+)	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K00002	
11.3	ldh	HMM	K00016.hmm	317.10|full	L-lactate dehydrogenase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K00016	
11.4	mdh	HMM	TIGR04266.hmm	400.00|full	methanol dehydrogenase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K00093	
11.5	exaA	HMM	K00114.hmm	652.23|domain	alcohol dehydrogenase (cytochrome c)	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K00114	
11.6	frmA	HMM	TIGR02818.hmm	509.55|full	S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K00121	
11.7	fdoG	HMM	K00123.hmm	841.13|full	formate dehydrogenase major subunit	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K00123	
11.8	fdoH	HMM	K00124.hmm	169.00|domain	formate dehydrogenase iron-sulfur subunit	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K00124	
11.9	fdhB	HMM	K00125.hmm	209.97|full	formate dehydrogenase (coenzyme F420) beta subunit	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K00125	
11.10	ALDH3	HMM	K00129.hmm	764.63|full	aldehyde dehydrogenase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K00129	
11.11	aldB	HMM	K00138.hmm	807.77|domain	aldehyde dehydrogenase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K00138	
11.12	fdhA_non_GSH	HMM	TIGR02819.hmm	425.15|full	glutathione-independent formaldehyde dehydrogenase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K00148	
11.13	mycoS_dep_FDH	HMM	TIGR03451.hmm	512.15|full	S-(hydroxymethyl)mycothiol dehydrogenase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K00153	
11.14	porA	HMM	K00169.hmm	299.20|full	pyruvate ferredoxin oxidoreductase alpha subunit	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K00169	
11.15	ACADM	HMM	K00249.hmm	318.80|domain	acyl-CoA dehydrogenase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K00249	
11.16	ACADL	HMM	K00255.hmm	575.20|full	long-chain-acyl-CoA dehydrogenase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K00255	
11.17	mcrA	HMM	TIGR03256.hmm	314.45|full	methyl-coenzyme M reductase alpha subunit	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K00399	
11.18	pta	HMM	TIGR00651.hmm	205.40|full	phosphate acetyltransferase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K00625	
11.19	pflD	HMM	K00656.hmm	336.47|full	formate C-acetyltransferase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K00656	
11.20	aspB	HMM	K00812.hmm	464.33|full	aspartate/tyrosine/aromatic aminotransferase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K00812	
11.21	aspC	HMM	K00813.hmm	530.40|full	aspartate/tyrosine/aromatic aminotransferase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K00813	
11.22	hisC	HMM	K00817.hmm	289.63|full	histidinol-phosphate/aromatic aminotransferase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K00817	
11.23	rocD	HMM	K00819.hmm	490.03|full	ornithine/acetylornithine aminotransferase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K00819	
